TIME;TIME;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Lithuania;Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.);35;:;44;47;46;50;54;58;61;61
Lithuania;Internet use: finding information about goods and services;54;57;56;65;57;62;62;68;69;73
Lithuania;Internet use: consulting wikis (to obtain knowledge on any subject);25;:;30;:;33;:;:;:;:;:
Lithuania;Internet use: reading online news sites/newspapers/news magazines;:;:;62;68;67;69;72;:;74;74
Lithuania;Internet use: playing/downloading games, images, films or music;:;31;:;33;:;:;:;:;:;:
Lithuania;Internet use: listening to web radios and/or watching web TV;:;30;:;:;:;:;:;:;:;:
Lithuania;Internet use: seeking health information;37;:;41;:;46;45;55;54;61;57
Lithuania;Internet use: playing/downloading games, listening to music or watching videos (excluding VOD);:;:;:;:;:;57;:;67;:;70
Luxembourg;Internet use: looking for information about education, training or course offers;45;:;47;:;60;:;:;:;:;:
Luxembourg;Internet use: sending/receiving e-mails;:;87;88;89;91;93;92;84;83;84
Luxembourg;Internet use: telephoning or video calls;31;36;43;40;46;53;55;47;53;76
Luxembourg;Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.);46;:;57;60;68;67;68;64;63;60
Luxembourg;Internet use: finding information about goods and services;66;84;70;82;76;86;82;76;67;68
Luxembourg;Internet use: consulting wikis (to obtain knowledge on any subject);67;:;75;:;79;:;:;:;:;:
Luxembourg;Internet use: reading online news sites/newspapers/news magazines;:;:;77;81;82;87;85;:;72;73
Luxembourg;Internet use: playing/downloading games, images, films or music;:;49;:;56;:;:;:;:;:;:
Luxembourg;Internet use: listening to web radios and/or watching web TV;:;48;:;:;:;:;:;:;:;:
Luxembourg;Internet use: seeking health information;52;:;58;:;62;71;65;53;58;53
Luxembourg;Internet use: playing/downloading games, listening to music or watching videos (excluding VOD);:;:;:;:;:;87;:;69;:;81
Hungary;Internet use: looking for information about education, training or course offers;33;:;34;:;29;:;:;:;:;:
Hungary;Internet use: sending/receiving e-mails;:;67;68;71;68;73;69;69;72;75
Hungary;Internet use: telephoning or video calls;23;31;28;40;40;42;45;45;61;68
Hungary;Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.);51;:;56;60;61;66;65;65;69;74
Hungary;Internet use: finding information about goods and services;54;59;58;66;61;70;65;69;69;76
Hungary;Internet use: consulting wikis (to obtain knowledge on any subject);29;:;29;:;44;:;:;:;:;:
Hungary;Internet use: reading online news sites/newspapers/news magazines;:;:;60;65;62;70;65;:;67;70
Hungary;Internet use: playing/downloading games, images, films or music;:;36;:;35;:;:;:;:;:;:
Hungary;Internet use: listening to web radios and/or watching web TV;:;30;:;:;:;:;:;:;:;:
Hungary;Internet use: seeking health information;48;:;49;:;53;54;58;56;60;63
Hungary;Internet use: playing/downloading games, listening to music or watching videos (excluding VOD);:;:;:;:;:;64;:;63;:;76
Malta;Internet use: looking for information about education, training or course offers;39;:;42;:;51;:;:;:;:;:
Malta;Internet use: sending/receiving e-mails;:;60;56;61;65;63;65;67;69;73
Malta;Internet use: telephoning or video calls;24;25;30;29;35;38;46;48;55;63
Malta;Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.);45;:;51;53;60;64;70;70;71;72
Malta;Internet use: finding information about goods and services;53;57;50;64;61;65;71;71;72;77
Malta;Internet use: consulting wikis (to obtain knowledge on any subject);37;:;34;:;47;:;:;:;:;:
Malta;Internet use: reading online news sites/newspapers/news magazines;:;:;49;55;62;62;67;:;70;74
Malta;Internet use: playing/downloading games, images, films or music;:;37;:;41;:;:;:;:;:;:
Malta;Internet use: listening to web radios and/or watching web TV;:;33;:;:;:;:;:;:;:;:
Malta;Internet use: seeking health information;39;:;41;:;53;56;60;59;62;64
Malta;Internet use: playing/downloading games, listening to music or watching videos (excluding VOD);:;:;:;:;:;70;:;72;:;83
Netherlands;Internet use: looking for information about education, training or course offers;31;:;29;:;36;:;:;:;:;:
Netherlands;Internet use: sending/receiving e-mails;:;89;90;90;90;90;93;92;93;92
Netherlands;Internet use: telephoning or video calls;38;39;29;32;31;37;44;58;61;83
Netherlands;Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.);46;:;55;59;59;62;67;66;67;71
Netherlands;Internet use: finding information about goods and services;82;83;83;85;84;85;88;89;89;89
Netherlands;Internet use: consulting wikis (to obtain knowledge on any subject);53;:;63;:;57;:;:;:;:;:
